ReviewID,DestinationID,UserID,Rating,ReviewText
1,1,1943,5,A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.
2,1,543,2,A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.
3,1,1571,5,A historical wonder with rich heritage and architecture! Visiting Taj Mahal was amazing.
4,2,854,5,A historical wonder with rich heritage and architecture! Visiting Red Fort was amazing.
5,2,1309,1,A historical wonder with rich heritage and architecture! Visiting Red Fort was amazing.
6,2,1020,5,A historical wonder with rich heritage and architecture! Visiting Red Fort was amazing.
7,3,594,3,A peaceful and spiritually uplifting destination. Visiting Golden Temple was amazing.
8,3,990,2,A peaceful and spiritually uplifting destination. Visiting Golden Temple was amazing.
9,3,1649,4,A peaceful and spiritually uplifting destination. Visiting Golden Temple was amazing.
10,4,610,4,A historical wonder with rich heritage and architecture! Visiting Amer Fort was amazing.
11,4,150,1,A historical wonder with rich heritage and architecture! Visiting Amer Fort was amazing.
12,4,324,4,A historical wonder with rich heritage and architecture! Visiting Amer Fort was amazing.
13,5,852,4,A historical wonder with rich heritage and architecture! Visiting Hawa Mahal was amazing.
14,5,952,2,A historical wonder with rich heritage and architecture! Visiting Hawa Mahal was amazing.
15,5,697,5,A historical wonder with rich heritage and architecture! Visiting Hawa Mahal was amazing.
16,6,295,3,A historical wonder with rich heritage and architecture! Visiting Humayun's Tomb was amazing.
17,6,1765,3,A historical wonder with rich heritage and architecture! Visiting Humayun's Tomb was amazing.
18,6,1504,3,A historical wonder with rich heritage and architecture! Visiting Humayun's Tomb was amazing.
19,7,1998,4,A historical wonder with rich heritage and architecture! Visiting Qutub Minar was amazing.
20,7,268,3,A historical wonder with rich heritage and architecture! Visiting Qutub Minar was amazing.
21,7,1055,5,A historical wonder with rich heritage and architecture! Visiting Qutub Minar was amazing.
22,8,218,3,A historical wonder with rich heritage and architecture! Visiting Mysore Palace was amazing.
23,8,496,4,A historical wonder with rich heritage and architecture! Visiting Mysore Palace was amazing.
24,8,251,3,A historical wonder with rich heritage and architecture! Visiting Mysore Palace was amazing.
25,9,921,2,A historical wonder with rich heritage and architecture! Visiting India Gate was amazing.
26,9,289,1,A historical wonder with rich heritage and architecture! Visiting India Gate was amazing.
27,9,104,3,A historical wonder with rich heritage and architecture! Visiting India Gate was amazing.
28,10,1937,4,A historical wonder with rich heritage and architecture! Visiting Gateway of India was amazing.
29,10,1770,5,A historical wonder with rich heritage and architecture! Visiting Gateway of India was amazing.
30,10,857,2,A historical wonder with rich heritage and architecture! Visiting Gateway of India was amazing.
31,11,1972,2,A historical wonder with rich heritage and architecture! Visiting Ajanta Caves was amazing.
32,11,1667,3,A historical wonder with rich heritage and architecture! Visiting Ajanta Caves was amazing.
33,11,1913,5,A historical wonder with rich heritage and architecture! Visiting Ajanta Caves was amazing.
34,12,1477,3,A historical wonder with rich heritage and architecture! Visiting Ellora Caves was amazing.
35,12,389,2,A historical wonder with rich heritage and architecture! Visiting Ellora Caves was amazing.
36,12,1021,5,A historical wonder with rich heritage and architecture! Visiting Ellora Caves was amazing.
37,13,957,4,A peaceful and spiritually uplifting destination. Visiting Meenakshi Amman Temple was amazing.
38,13,1801,3,A peaceful and spiritually uplifting destination. Visiting Meenakshi Amman Temple was amazing.
39,13,1019,1,A peaceful and spiritually uplifting destination. Visiting Meenakshi Amman Temple was amazing.
40,14,185,4,A historical wonder with rich heritage and architecture! Visiting Konark Sun Temple was amazing.
41,14,1036,4,A historical wonder with rich heritage and architecture! Visiting Konark Sun Temple was amazing.
42,14,1980,2,A historical wonder with rich heritage and architecture! Visiting Konark Sun Temple was amazing.
43,15,441,5,A peaceful and spiritually uplifting destination. Visiting Jagannath Temple was amazing.
44,15,723,1,A peaceful and spiritually uplifting destination. Visiting Jagannath Temple was amazing.
45,15,104,3,A peaceful and spiritually uplifting destination. Visiting Jagannath Temple was amazing.
46,16,1014,5,A historical wonder with rich heritage and architecture! Visiting Statue of Unity was amazing.
47,16,1808,4,A historical wonder with rich heritage and architecture! Visiting Statue of Unity was amazing.
48,16,586,5,A historical wonder with rich heritage and architecture! Visiting Statue of Unity was amazing.
49,17,17,1,A historical wonder with rich heritage and architecture! Visiting Hampi Monuments was amazing.
50,17,883,2,A historical wonder with rich heritage and architecture! Visiting Hampi Monuments was amazing.
51,17,1808,3,A historical wonder with rich heritage and architecture! Visiting Hampi Monuments was amazing.
52,18,1490,3,A peaceful and spiritually uplifting destination. Visiting Brihadeeswara Temple was amazing.
53,18,1565,4,A peaceful and spiritually uplifting destination. Visiting Brihadeeswara Temple was amazing.
54,18,750,1,A peaceful and spiritually uplifting destination. Visiting Brihadeeswara Temple was amazing.
55,19,821,1,A historical wonder with rich heritage and architecture! Visiting Charminar was amazing.
56,19,1168,5,A historical wonder with rich heritage and architecture! Visiting Charminar was amazing.
57,19,399,3,A historical wonder with rich heritage and architecture! Visiting Charminar was amazing.
58,20,1134,3,A historical wonder with rich heritage and architecture! Visiting Golconda Fort was amazing.
59,20,151,4,A historical wonder with rich heritage and architecture! Visiting Golconda Fort was amazing.
60,20,1033,4,A historical wonder with rich heritage and architecture! Visiting Golconda Fort was amazing.
61,21,1566,5,Incredible natural beauty with scenic landscapes! Visiting Dal Lake was amazing.
62,21,573,5,Incredible natural beauty with scenic landscapes! Visiting Dal Lake was amazing.
63,21,1394,5,Incredible natural beauty with scenic landscapes! Visiting Dal Lake was amazing.
64,22,244,2,Incredible natural beauty with scenic landscapes! Visiting Pangong Lake was amazing.
65,22,1997,1,Incredible natural beauty with scenic landscapes! Visiting Pangong Lake was amazing.
66,22,807,3,Incredible natural beauty with scenic landscapes! Visiting Pangong Lake was amazing.
67,23,1628,3,Incredible natural beauty with scenic landscapes! Visiting Alleppey Backwaters was amazing.
68,23,1143,3,Incredible natural beauty with scenic landscapes! Visiting Alleppey Backwaters was amazing.
69,23,1547,2,Incredible natural beauty with scenic landscapes! Visiting Alleppey Backwaters was amazing.
70,24,408,5,Incredible natural beauty with scenic landscapes! Visiting Munnar Tea Gardens was amazing.
71,24,1043,4,Incredible natural beauty with scenic landscapes! Visiting Munnar Tea Gardens was amazing.
72,24,1025,1,Incredible natural beauty with scenic landscapes! Visiting Munnar Tea Gardens was amazing.
73,25,93,1,Incredible natural beauty with scenic landscapes! Visiting Kaziranga National Park was amazing.
74,25,281,3,Incredible natural beauty with scenic landscapes! Visiting Kaziranga National Park was amazing.
75,25,1647,4,Incredible natural beauty with scenic landscapes! Visiting Kaziranga National Park was amazing.
76,26,1064,4,Incredible natural beauty with scenic landscapes! Visiting Jim Corbett National Park was amazing.
77,26,306,5,Incredible natural beauty with scenic landscapes! Visiting Jim Corbett National Park was amazing.
78,26,1830,5,Incredible natural beauty with scenic landscapes! Visiting Jim Corbett National Park was amazing.
79,27,287,3,Incredible natural beauty with scenic landscapes! Visiting Ranthambore National Park was amazing.
80,27,1908,5,Incredible natural beauty with scenic landscapes! Visiting Ranthambore National Park was amazing.
81,27,653,2,Incredible natural beauty with scenic landscapes! Visiting Ranthambore National Park was amazing.
82,28,805,5,Incredible natural beauty with scenic landscapes! Visiting Valley of Flowers was amazing.
83,28,1515,3,Incredible natural beauty with scenic landscapes! Visiting Valley of Flowers was amazing.
84,28,1216,3,Incredible natural beauty with scenic landscapes! Visiting Valley of Flowers was amazing.
85,29,1039,5,Thrilling adventure activities and excitement! Visiting Rohtang Pass was amazing.
86,29,1091,4,Thrilling adventure activities and excitement! Visiting Rohtang Pass was amazing.
87,29,1452,5,Thrilling adventure activities and excitement! Visiting Rohtang Pass was amazing.
88,30,614,4,A peaceful and spiritually uplifting destination. Visiting Badrinath Temple was amazing.
89,30,1671,1,A peaceful and spiritually uplifting destination. Visiting Badrinath Temple was amazing.
90,30,755,3,A peaceful and spiritually uplifting destination. Visiting Badrinath Temple was amazing.
91,31,1380,1,A peaceful and spiritually uplifting destination. Visiting Kedarnath Temple was amazing.
92,31,854,5,A peaceful and spiritually uplifting destination. Visiting Kedarnath Temple was amazing.
93,31,631,1,A peaceful and spiritually uplifting destination. Visiting Kedarnath Temple was amazing.
94,32,1223,4,A peaceful and spiritually uplifting destination. Visiting Somnath Temple was amazing.
95,32,544,5,A peaceful and spiritually uplifting destination. Visiting Somnath Temple was amazing.
96,32,1183,2,A peaceful and spiritually uplifting destination. Visiting Somnath Temple was amazing.
97,33,1478,1,A peaceful and spiritually uplifting destination. Visiting Dwarkadhish Temple was amazing.
98,33,1196,4,A peaceful and spiritually uplifting destination. Visiting Dwarkadhish Temple was amazing.
99,33,350,5,A peaceful and spiritually uplifting destination. Visiting Dwarkadhish Temple was amazing.
100,34,1289,5,A historical wonder with rich heritage and architecture! Visiting Rani Ki Vav was amazing.
101,34,1587,4,A historical wonder with rich heritage and architecture! Visiting Rani Ki Vav was amazing.
102,34,303,2,A historical wonder with rich heritage and architecture! Visiting Rani Ki Vav was amazing.
103,35,65,5,A historical wonder with rich heritage and architecture! Visiting Sanchi Stupa was amazing.
104,35,1942,1,A historical wonder with rich heritage and architecture! Visiting Sanchi Stupa was amazing.
105,35,391,1,A historical wonder with rich heritage and architecture! Visiting Sanchi Stupa was amazing.
106,36,904,3,A historical wonder with rich heritage and architecture! Visiting Khajuraho Temples was amazing.
107,36,858,2,A historical wonder with rich heritage and architecture! Visiting Khajuraho Temples was amazing.
108,36,846,2,A historical wonder with rich heritage and architecture! Visiting Khajuraho Temples was amazing.
109,37,841,5,A historical wonder with rich heritage and architecture! Visiting Victoria Memorial was amazing.
110,37,1588,5,A historical wonder with rich heritage and architecture! Visiting Victoria Memorial was amazing.
111,37,1886,4,A historical wonder with rich heritage and architecture! Visiting Victoria Memorial was amazing.
112,38,1788,1,A historical wonder with rich heritage and architecture! Visiting Cellular Jail was amazing.
113,38,1446,2,A historical wonder with rich heritage and architecture! Visiting Cellular Jail was amazing.
114,38,1063,2,A historical wonder with rich heritage and architecture! Visiting Cellular Jail was amazing.
115,39,1149,3,A peaceful and spiritually uplifting destination. Visiting Mahabodhi Temple was amazing.
116,39,1357,4,A peaceful and spiritually uplifting destination. Visiting Mahabodhi Temple was amazing.
117,39,1077,4,A peaceful and spiritually uplifting destination. Visiting Mahabodhi Temple was amazing.
118,40,643,2,A historical wonder with rich heritage and architecture! Visiting Nalanda University Ruins was amazing.
119,40,942,5,A historical wonder with rich heritage and architecture! Visiting Nalanda University Ruins was amazing.
120,40,702,5,A historical wonder with rich heritage and architecture! Visiting Nalanda University Ruins was amazing.
121,41,726,3,A peaceful and spiritually uplifting destination. Visiting Sarnath Buddhist Site was amazing.
122,41,1250,4,A peaceful and spiritually uplifting destination. Visiting Sarnath Buddhist Site was amazing.
123,41,394,2,A peaceful and spiritually uplifting destination. Visiting Sarnath Buddhist Site was amazing.
124,42,572,5,A peaceful and spiritually uplifting destination. Visiting Kashi Vishwanath Temple was amazing.
125,42,612,2,A peaceful and spiritually uplifting destination. Visiting Kashi Vishwanath Temple was amazing.
126,42,1929,3,A peaceful and spiritually uplifting destination. Visiting Kashi Vishwanath Temple was amazing.
127,43,1580,3,Loved the beaches and relaxing coastal vibes! Visiting Marina Beach was amazing.
128,43,1444,2,Loved the beaches and relaxing coastal vibes! Visiting Marina Beach was amazing.
129,43,1414,4,Loved the beaches and relaxing coastal vibes! Visiting Marina Beach was amazing.
130,44,650,4,Incredible natural beauty with scenic landscapes! Visiting Ooty Lake was amazing.
131,44,715,5,Incredible natural beauty with scenic landscapes! Visiting Ooty Lake was amazing.
132,44,1913,3,Incredible natural beauty with scenic landscapes! Visiting Ooty Lake was amazing.
133,45,590,1,Incredible natural beauty with scenic landscapes! Visiting Kodaikanal Lake was amazing.
134,45,1175,5,Incredible natural beauty with scenic landscapes! Visiting Kodaikanal Lake was amazing.
135,45,778,4,Incredible natural beauty with scenic landscapes! Visiting Kodaikanal Lake was amazing.
136,46,1677,3,Incredible natural beauty with scenic landscapes! Visiting Coorg Coffee Estates was amazing.
137,46,1956,2,Incredible natural beauty with scenic landscapes! Visiting Coorg Coffee Estates was amazing.
138,46,595,1,Incredible natural beauty with scenic landscapes! Visiting Coorg Coffee Estates was amazing.
139,47,590,1,Incredible natural beauty with scenic landscapes! Visiting Jog Falls was amazing.
140,47,710,4,Incredible natural beauty with scenic landscapes! Visiting Jog Falls was amazing.
